season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2009/2010,Cleveland Cavaliers," Cleveland, Ohio",82,19780,3101,6391,0.485,602,1582,0.381,2499,4809,0.52,1569,2180,0.72,791,2692,3483,1835,564,425,1137,1591,8373,83398534,4905796.12,4.67,27.06, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2009/2010,Indiana Pacers," Indianapolis, Indiana",82,19705,3020,6823,0.443,659,1896,0.348,2361,4927,0.479,1564,2019,0.775,785,2618,3403,1730,585,439,1232,1848,8263,66733257,4170828.56,4.2,26.47, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 36 (27 NBA & 9 ABA), 3 (0 NBA & 3 ABA)," 2232-2097, .516 W-L% (1805-1780 NBA & 427-317 ABA)"
2009/2010,Los Angeles Lakers," Los Angeles, California",82,19830,3144,6875,0.457,532,1562,0.341,2612,5313,0.492,1519,1985,0.765,973,2662,3635,1730,612,400,1096,1592,8339,91378064,7029081.85,6.62,27.62, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2009/2010,Minnesota Timberwolves," Minneapolis, Minnesota",82,19780,3106,6923,0.449,403,1181,0.341,2703,5742,0.471,1436,1926,0.746,962,2556,3518,1626,597,306,1333,1699,8051,62253360,3661962.35,3.5,25.06, 32; 1989-90 to 2020-21,9,0," 987-1525, .393 W-L%"
2009/2010,Philadelphia 76ers," Philadelphia, Pennsylvania",82,19805,3087,6706,0.46,474,1381,0.343,2613,5325,0.491,1366,1808,0.756,941,2421,3362,1723,667,439,1192,1677,8014,64883448,4634532,4.75,26.25, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2009/2010,Utah Jazz," Salt Lake City, Utah",82,19755,3227,6575,0.491,439,1207,0.364,2788,5368,0.519,1654,2233,0.741,872,2588,3460,2187,675,400,1246,1859,8547,71905244,5992103.67,3.27,24.67, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2009/2010,Los Angeles Clippers," Los Angeles, California",82,19705,3002,6601,0.455,483,1457,0.332,2519,5144,0.49,1362,1867,0.73,927,2502,3429,1810,532,466,1285,1581,7849,61616409,3423133.83,5.37,27.05, 51; 1970-71 to 2020-21,15,0," 1683-2397, .413 W-L%"
2009/2010,San Antonio Spurs," San Antonio, Texas",82,19780,3150,6659,0.473,554,1547,0.358,2596,5112,0.508,1458,1969,0.74,887,2621,3508,1829,516,381,1116,1669,8312,79338309,5667022.07,5.76,28.12, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 47 (39 NBA & 8 ABA), 5 (5 NBA & 0 ABA)," 2590-1735, .599 W-L% (2212-1369 NBA & 378-366 ABA)"
2009/2010,Atlanta Hawks," Atlanta, Georgia",82,19855,3181,6801,0.468,524,1455,0.36,2657,5346,0.497,1452,1914,0.759,969,2451,3420,1789,592,413,980,1632,8338,65883642,4705974.43,5.64,26.57, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2009/2010,Milwaukee Bucks," Milwaukee, Wisconsin",82,19980,3050,6998,0.436,645,1813,0.356,2405,5185,0.464,1264,1675,0.755,965,2560,3525,1740,580,385,1085,1823,8009,66775602,4173475.12,5.05,27.74, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
