g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,name,location,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
82,19730,3311,6950,.476,981,2636,.372,2330,4314,.540,1488,1909,.779,694,2761,3455,1916,582,312,1126,1524,9091,2017/2018,Cleveland Cavaliers,Quicken Loans Arena,137912382,7258546.42,7.18,29.0,,1,0
82,19705,3013,6788,.444,758,2152,.352,2255,4636,.486,1361,1732,.786,779,2544,3323,1767,613,396,1227,1900,8145,2017/2018,Memphis Grizzlies,FedEx Forum,110735427,4259054.88,3.04,25.46,,0,0
82,19755,3139,6797,.462,887,2425,.366,2252,4372,.515,1375,1766,.779,740,2807,3547,1839,708,420,1205,1608,8540,2017/2018,Utah Jazz,Vivint Smart Home Arena,106140633,4824574.23,3.86,26.24,,0,0
82,19805,3208,7129,.450,886,2373,.373,2322,4756,.488,1207,1621,.745,830,2756,3586,1868,628,317,1103,1508,8509,2017/2018,Detroit Pistons,Little Caesars Arena,118897722,5661796.29,4.05,26.32,,0,0
82,19755,3179,7063,.450,738,1967,.375,2441,5096,.479,1008,1371,.735,777,2578,3355,1768,643,340,1125,1639,8104,2017/2018,Sacramento Kings,Golden 1 Center,95682824,4160122.78,4.0,25.78,,0,0
82,19705,3302,7004,.471,777,2196,.354,2525,4808,.525,1556,2095,.743,832,2766,3598,1832,628,373,1204,1638,8937,2017/2018,Los Angeles Clippers,STAPLES Center,119178226,5417192.09,3.71,26.57,,0,0
82,19705,3153,7141,.442,763,2286,.334,2390,4855,.492,1453,1962,.741,842,2776,3618,1743,569,370,1289,1807,8522,2017/2018,Phoenix Suns,Talking Stick Resort Arena,92518634,4022549.3,3.05,24.36,,0,0
82,19730,3509,6981,.503,926,2370,.391,2583,4611,.560,1360,1668,.815,691,2877,3568,2402,656,612,1267,1607,9304,2017/2018,Golden State Warriors,Oracle Arena,135371746,7520652.56,6.71,28.0,,1,1
82,19855,3275,7018,.467,814,2173,.375,2461,4845,.508,1378,1786,.772,823,2713,3536,2065,645,353,1196,1746,8742,2017/2018,Washington Wizards,Capital One Arena,124030914,6201545.7,5.56,27.13,,0,0
82,19805,3128,7042,.444,967,2688,.360,2161,4354,.496,1167,1530,.763,666,2717,3383,1858,578,310,1008,1578,8390,2017/2018,Dallas Mavericks,American Airlines Center,86136236,3589009.83,3.74,26.65,,0,0
82,19905,3338,7248,.461,822,2384,.345,2516,4864,.517,1364,1910,.714,876,2927,3803,1949,633,388,1295,1736,8862,2017/2018,Los Angeles Lakers,STAPLES Center,102260522,4260855.08,3.67,25.5,,0,0
82,19830,3334,7193,.464,673,1914,.352,2661,5279,.504,1225,1557,.787,859,2752,3611,1912,552,421,1207,1682,8566,2017/2018,New York Knicks,Madison Square Garden (IV),104405157,4745688.95,4.1,25.86,,0,0
82,19780,3197,7106,.450,824,2233,.369,2373,4873,.487,1656,2216,.747,827,2901,3728,1770,559,373,1041,1409,8874,2017/2018,Charlotte Hornets,Spectrum Center,117228164,7326760.25,4.0,25.47,,0,0
82,19705,3130,7015,.446,917,2544,.360,2213,4471,.495,1298,1654,.785,743,2693,3436,1946,638,348,1276,1606,8475,2017/2018,Atlanta Hawks,Philips Arena,99701094,3437968.76,2.68,25.5,,0,0
82,19880,3338,7102,.470,940,2536,.371,2398,4566,.525,1404,1830,.767,902,2748,3650,2059,627,404,1227,1533,9020,2017/2018,Denver Nuggets,Pepsi Center,107015203,5945289.06,4.67,25.83,,0,0
82,19855,3170,7285,.435,906,2549,.355,2264,4736,.478,1194,1574,.759,790,2873,3663,1923,626,289,1147,1571,8440,2017/2018,Chicago Bulls,United Center,90183960,3220855.71,2.48,24.62,,0,0
82,19830,3383,7169,.472,968,2705,.358,2415,4464,.541,1422,1790,.794,800,2807,3607,1995,626,500,1095,1783,9156,2017/2018,Toronto Raptors,Air Canada Centre,116574876,6135519.79,3.39,24.83,,0,0
82,19830,3257,6807,.478,718,2024,.355,2539,4783,.531,1499,1915,.783,688,2579,3267,1905,722,443,1134,1752,8731,2017/2018,Milwaukee Bucks,BMO Harris Bradley Center,115375243,4615009.72,3.92,26.0,,0,0
82,19755,3345,7083,.472,741,2010,.369,2604,5073,.513,1225,1573,.779,788,2684,3472,1819,721,340,1089,1544,8656,2017/2018,Indiana Pacers,Bankers Life Fieldhouse,93669385,4072581.96,4.0,25.84,,0,0
