g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,name,location,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
82,19830,3249,6858,.474,721,1877,.384,2528,4981,.508,1378,1733,.795,840,2514,3354,1935,704,356,1110,1636,8597,2013/2014,Dallas Mavericks,American Airlines Center,67486257,4820446.93,6.33,28.2,,0,0
82,19780,3182,7124,.447,507,1580,.321,2675,5544,.483,1415,2111,.670,1196,2525,3721,1714,687,395,1193,1666,8286,2013/2014,Detroit Pistons,The Palace of Auburn Hills,59157073,4929756.08,3.93,25.6,,0,0
82,19780,2951,6652,.444,543,1577,.344,2408,5075,.474,1346,1803,.747,904,2477,3381,1664,570,366,1200,1699,7791,2013/2014,Utah Jazz,EnergySolutions Arena,54491476,4540956.33,4.0,25.82,,0,0
82,19930,3036,6955,.437,584,1640,.356,2452,5315,.461,1398,1861,.751,989,2629,3618,1738,579,304,1163,1640,8054,2013/2014,Cleveland Cavaliers,Quicken Loans Arena,47050404,4277309.45,2.95,24.52,,0,0
82,19705,3139,6980,.450,774,2032,.381,2365,4948,.478,1390,1835,.757,745,2620,3365,2006,611,446,1239,1627,8442,2013/2014,Los Angeles Lakers,STAPLES Center,76755609,6396300.75,5.47,27.26,,0,0
82,19755,3208,6761,.474,693,1966,.352,2515,4795,.525,1741,2384,.730,858,2668,3526,2016,703,397,1136,1767,8850,2013/2014,Los Angeles Clippers,STAPLES Center,73103861,5623373.92,7.1,28.55,,0,0
82,19855,3189,7175,.444,600,1757,.341,2589,5418,.478,1790,2301,.778,1024,2644,3668,1963,718,297,1142,1504,8768,2013/2014,Minnesota Timberwolves,Target Center,67485845,4820417.5,3.65,26.0,,0,0
82,19755,3172,6845,.463,765,2055,.372,2407,4790,.503,1520,2004,.758,928,2601,3529,1563,688,374,1258,1798,8629,2013/2014,Phoenix Suns,US Airways Center,64412586,3788975.65,3.2,25.87,,0,0
82,19755,3326,6844,.486,698,1757,.397,2628,5087,.517,1289,1642,.785,762,2786,3548,2064,604,420,1180,1495,8639,2013/2014,San Antonio Spurs,AT&T Center,63666028,4547573.43,5.37,27.89,,1,1
82,19830,3118,6603,.472,779,2179,.358,2339,4424,.529,1814,2549,.712,920,2797,3717,1755,621,461,1323,1676,8829,2013/2014,Houston Rockets,Toyota Center,63413126,3963320.38,3.22,25.39,,0,0
82,19755,3147,7042,.447,702,1959,.358,2445,5083,.481,1563,2154,.726,1009,2717,3726,1838,615,459,1305,1890,8559,2013/2014,Denver Nuggets,Pepsi Center,67324401,4488293.4,4.62,26.0,,0,0
82,19830,3236,7005,.462,774,2037,.380,2462,4968,.496,1303,1731,.753,896,2819,3715,1912,642,407,1247,1784,8549,2013/2014,Golden State Warriors,Oracle Arena,66764126,5135702.0,4.44,26.33,,0,0
82,20055,3177,6920,.459,647,1704,.380,2530,5216,.485,1253,1715,.731,886,2573,3459,1909,668,377,1204,1675,8254,2013/2014,Washington Wizards,Verizon Center,64064905,4576064.64,5.59,26.65,,0,0
82,19830,3061,6688,.458,768,2116,.363,2293,4572,.502,1392,1782,.781,713,2565,3278,2041,680,326,1251,1577,8282,2013/2014,Atlanta Hawks,Philips Arena,55131673,3937976.64,3.78,26.11,,0,0
82,19730,2996,6883,.435,575,1729,.333,2421,5154,.470,1325,1706,.777,980,2505,3485,1726,584,343,1261,1743,7892,2013/2014,Boston Celtics,TD Garden,63769609,5797237.18,4.05,25.68,,0,0
82,19880,2931,6391,.459,709,1922,.369,2222,4469,.497,1508,2002,.753,721,2407,3128,1714,705,311,1191,1777,8079,2013/2014,Brooklyn Nets,Barclays Center,102608995,6840599.67,7.05,28.84,,0,0
82,19930,2843,6577,.432,508,1459,.348,2335,5118,.456,1486,1908,.779,937,2683,3620,1860,594,424,1223,1565,7680,2013/2014,Chicago Bulls,United Center,85095835,6545833.46,5.6,27.75,,0,0
